AA	AAL	American Airlines Inc.	Американские авиалинии
DQ	DCP	Air Direct Connect Ltd.	Аир Директ Коннект Лтд
DR	RLH	Ruili Airlines	Руили Аирлинес
DT	DTA	TAAG Angola Airlines	TAAG Angola Airlines
DV	VSV	JSC Aircompany SCAT	Джск Аиркомпанй Скат
DW	UCR	Joint Stock Company "Air Company Aero-Charter"	Джоинт Стокк Компанй Аир Компанй Эро-чартер
DY	NAX	Norwegian Air	Norwegian Air
DZ	EPA	Donghai Airlines	Донгхаи Аирлинес
D0	DHK	DHL Air Limited	Дхл Аир Лимитед
D2	SSF	Severstal Aircompany	Северстал Аиркомпанй
D3	DAO	Daallo Airlines (United Arab Emirates)	Даалло Аирлинес
D4	 	Airline GEO SKY	Аирлине Гео Скй
D5	DAE	DHL Aero Expresso	Дхл Эро Експрессо
D6	ILN	Interair South Africa (Ceased)	Интераир Сут Африка
D7	XAX	Air Asia X	Аир Асиа Кс
D8	IBK	Norwegian Air International LTD.	Норвегиан Аир Интернатионал Лтд
D9	DMQ	Daallo Airlines (Somalia)	Даалло Аирлинес
EA	EAL	Eastern Air Lines (Ceased)	Еастерн Аир Линес
EB	PLM	Wamos Air	Вамос Аир
ED	AXE	AirExplore, s.r.o.	Аирексплоре Сро
EE	EST	Regional Jet Ou	Регионал Джет У
EF	CPR	Aerolinea del Caribe Peru	Эролинеа Дел Карибе Перу
EI	EIN	Aer Lingus Limited	Эр Лингус Лимитед
EK	UAE	Emirates	Эмирейтс
EL	ELB	Ellinair	Еллинаир
EM	CFS	Empire Airlines	Емпире Аирлинес
EN	DLA	Air Dolomiti S.p.A.	Аир Доломити Спа
EO	KAR	Pegas Fly	Pegas Fly
EP	IRC	Iran Aseman Airlines	Иран Асеман Аирлинес
EQ	TAE	TAME Linea Aerea del Ecuador (Ceased)	Таме Линеа Эреа Дел Екуадор
ER	SEP	Serene Air	Серене Аир
ER	DHL	ASTAR Air Cargo Inc. (Ceased)	Астар Аир Карго Инк
ES	DHX	DHL Aviation EEMEA B.S.C.	Дхл Авиатион Еемеа Бск
ET	ETH	Ethiopian Airlines Enterprise	Ethiopian Airlines
EU	UEA	Chengdu Airlines	Ченгду Аирлинес
EV	ASQ	ExpressJet Airlines, Inc.	Експрессджет Аирлинес Инк
EW	EWG	Eurowings GmbH	Еуровингс Гмбх
EX	5AH	Avianca Express	Avianca Express
EY	ETD	Etihad Airways	Etihad Airways
EZ	SUS	Sun Air of Scandinavia A.S.	Сун Аир Оф Скандинавиа Ас
E3	VGO	New Gen Airways (Ceased)	Нев Ген Аирвайс
E4	ENT	Enter Air	Ентер Аир
E5	RBG	Air Arabia Egypt	Аир Арабиа Егйпт
E6	BRC	Bringer Air Cargo	Брингер Аир Карго
E7	EKA	Equaflight	Екуафлигхт
E7*	ESF	Estafeta	Естафета
E9	EVE	Evelop Airlines	Евелоп Аирлинес
FA	SFR	Safair (Proprietary) Ltd.	Сафаир Лтд
FB	LZB	Bulgaria Air	Булгариа Аир
FC	 	Link Airways	Линк Аирвайс
FC	FCX	Falcon Express Cargo Airlines (Ceased)	Фалкон Експресс Карго Аирлинес
FD	AIQ	Thai AirAsia	Таи Аирасиа
FE	FEA	Far Eastern Air Transport Corp.	Фар Еастерн Аир Транспорт Корп
FG	AFG	Ariana Afghan Airlines	Ариана Афгхан Аирлинес
FH	FHY	Freebird Airlines	Фреебирд Аирлинес
FI	ICE	Iceland Air	Икеланд Аир
FJ	FJI	Fiji Airways	Фиджи Аирвайс
FK	KFA	KF Cargo	Кф Карго
FL	TRS	AirTran Airways, Inc.	Аиртран Аирвайс Инк
FM	CSH	Shanghai Airlines	Шангхаи Аирлинес
FN	FTZ	Fastjet Tanzania	Фастджет Танзаниа
FP	 	Pelican Airlines	Пеликан Аирлинес
FR	RYR	Ryanair	Рянаир
FS	SYA	Syphax Airlines S.A.	Сйфакс Аирлинес Са
FT	FEG	FlyEgypt	Флйегйпт
FT	SRH	Siem Reap Airways (Ceased)	Сием Реап Аирвайс
FU	FZA	Fuzhou Airlines	Фужу Аирлинес
FV	PLK	Rossiya Airlines	Россия
FX	FDX	FedEx	Федекс
FY	FFM	Firefly	Фирефлй
FZ	FDB	flydubai	Флйдубаи
F4	WAF	Air Flamenco	Аир Фламенко
F4	SHQ	Shanghai Airlines Cargo (Ceased)	Шангхаи Аирлинес Карго
F5	ATG	Aerotranscargo	Эротранскарго
F7	RSY	iFly Airlines	Ифлй Аирлинес
F8	FLE	Flair Airlines	Флаир Аирлинес
F9	FTT	Frontier Airlines, Inc.	Фронтиер Аирлинес Инк
GA	GIA	Garuda Indonesia	Garuda Indonesia
GB	ABX	Airborne Express	Аирборне Експресс
GC	 	Global Feeder Services, LLC	Глобал Феедер Сервикес Ллк
GD	 	Aviair	Авиаир
GE	TNA	TransAsia Airways Corp.	Трансасиа Аирвайс Корп
GF	GFA	Gulf Air	Gulf Air
GG	KYE	Sky Lease I, Inc.	Скй Леасе И Инк
GH	GLP	Globus LLC	Глобус Ллк
GI	LHA	Guangdong Longhao Airlines	Гуангдонг Лонгхао Аирлинес
GJ	CDC	Zhejiang Loong Airlines	Жеджианг Лоонг Аирлинес
GK	JJP	Jetstar Japan	Джетстар Джапан
GL	GRL	Air Greenland A/S	Аир Греенланд А/с
GM	GSW	Chair Airlines	Чаир Аирлинес
GO	KZU	ULS Airlines Cargo	Улс Аирлинес Карго
GP	RIV	APG Airlines	Апг Аирлинес
GQ	SEH	Sky Express	Скй Експресс
GR	AUR	Aurigny	Ауригнй
GS	GCR	TianJin Airlines	Тианджин Аирлинес
GT	CGH	Air Guilin Co. Ltd.	Аир Гуилин Ко Лтд
GU	GUG	AVIATECA S.A.	Авиатека Са
GV	SKG	Sky Gabon S.A.	Скй Габон Са
GW	SGR	SkyGreece Airlines	Скйгрееке Аирлинес
GW	 	GO FLY (Ceased)	Го Флй
GW*	GJT	GetJet Airlines	Гетджет Аирлинес
GX	CBG	Guangxi Beibu Gulf Airlines Co.,Ltd	Гуангкси Беибу Гулф Аирлинес Колтд
GX	LLG	Luftline Georgia Ltd. (Ceased)	Луфтлине Георгиа Лтд
GY	CGZ	Colorful GuiZhou Airlines	Колорфул Гуижу Аирлинес
GZ	RAR	Air Rarotonga	Аир Раротонга
G3	GLO	Gol Intelligent Airlines	Гол Интеллигент Аирлинес
G4	AAY	Allegiant Air	Аллегиант Аир
G5	HXA	China Express Airlines	Чина Експресс Аирлинес
G7	GJS	GoJet Airlines LLC	Годжет Аирлинес Ллк
G7	KAO	JSC "KAPO Avia" (Ceased)	Джск Капо Авиа
G8	GOW	GoAir	Гоаир
G9	ABY	Air Arabia	Аир Арабиа
HA	HAL	Hawaiian Airlines, Inc.	Хаваииан Аирлинес Инк
HB	HGB	Greater Bay Airlines	Греатер Бай Аирлинес
HB	AAQ	Asia Atlantic Airlines (Ceased)	Асиа Атлантик Аирлинес
HC	SZN	Air Senegal	Аир Сенегал
HF	VRE	Air Cote D'Ivoire	Аир Коте Дивоире
HG	NLY	NIKI	Ники
HH	TBM	Taban Airlines	Табан Аирлинес
HK	HAY	Hamburg Airways (Ceased)	Хамбург Аирвайс
HM	SEY	Air Seychelles	Аир Сейчеллес
HO	DKH	Juneyao Airlines	Джунеяо Аирлинес
HP	APF	Amapola Flyg	Амапола Флйг
HR	HHN	Hahn Air lines	Хахн Аир Линес
HT	 	Tianjin Air Cargo	Тианджин Аир Карго
HU	CHH	Hainan Airlines	Хаинан Аирлинес
HV	TRA	Transavia Airlines	Трансавиа Аирлинес
HX	CRK	Hong Kong Airlines Limited	Хонг Конг Аирлинес Лимитед
HY	UZB	Uzbekistan Airways	Узбекистан Аирвайс
HZ	SHU	Aurora Airlines	Аурора Аирлинес
H2	SKU	Sky Airline S.A.	Скй Аирлине Са
H5*	AHO	Air Hamburg	Аир Хамбург
H9	HIM	Himalaya Airlines	Хималая Аирлинес
IA	IAW	Iraqi Airways	Iraqi Airways
IB	IBE	IBERIA Lineas Aereas	Ибериа Линеас Эреас
ID	BTK	Batik Air Indonesia	Батик Аир Индонесиа
IE	SOL	Solomon Airlines Limited	Соломон Аирлинес Лимитед
IF	FBA	Fly Baghdad	Флй Багхдад
IF*	IFL	Gulf & Caribbean Cargo, Inc	Гулф И Кариббеан Карго Инк
IG	EEZ	Air Italy (Ceased)	Аир Италй
II	CSQ	IBC Airways, Inc.	Ибк Аирвайс Инк
IJ	SJO	Spring Japan	Спринг Джапан
IN	NIH	Nam Air	Нам Аир
IO	IAE	IrAero	Ирэро
IQ	QAZ	Qazaq Air	Казак Аир
IQ	AUB	Augsburg Airways (Ceased)	Аугсбург Аирвайс
IR	IRA	Iran Air	Иран Аир
IS	SHI	Sepehran Airlines	Сепехран Аирлинес
IT	TTW	Tigerair Taiwan	Тигераир Таиван
IU	CSW	SW Italia	Св Италиа
IW	WON	Wings Air	Вингс Аир
IW	OAN	Aerospace One S.A. (Ceased)	Эроспаке Оне Са
IX	AXB	Air India Express	Аир Индиа Експресс
IY	IYE	Yemenia - Yemen Airways	Йемениа - Йемен Аирвайс
IZ	AIZ	Arkia Israeli Airlines	Аркиа Исрэли Аирлинес
I2	IBS	Radio Iberia Express, S.A.U.	Радио Ибериа Експресс Сау
I8	IZA	Izhavia Public Stock Company	Ижавиа Публик Стокк Компанй
I9	HLF	China Central Airlines	Чина Кентрал Аирлинес
JB	JBA	Helijet	Хелиджет
JD	CBJ	Beijing Capital Airlines Co. Ltd.	Беиджинг Капитал Аирлинес Ко Лтд
JD	JAS	Japan Air System (Ceased)	Джапан Аир Сйстем
JE	MNO	Mango Airlines	Манго Аирлинес
JF	JAA	Jet Asia Airways Company Limited	Джет Асиа Аирвайс Компанй Лимитед
JG	JGO	Jetgo Australia Holdings Pty Ltd.	Джетго Аустралиа Холдингс Птй Лтд
JH	FDA	Fuji Dream Airlines	Фуджи Дреам Аирлинес
JI	JAE	Jade Cargo International Company Limited	Джаде Карго Интернатионал Компанй Лимитед
JJ	TAM	LATAM Airlines Brasil	LATAM Brasil
JK	ACL	AerCaribe	Эркарибе
JL	JAL	Japan Airlines	Japan Airlines
JP	ADR	Adria Airways (Ceased)	Адриа Аирвайс
JQ	JST	Jetstar Airways Pty Limited	Джетстар Аирвайс Птй Лимитед
JR	JOY	Joy Air	Джой Аир
JS	KOR	Air Koryo	Аир Корё
JT	LNI	Lion Airlines	Lion Air
JU	JAT	Air Serbia	Аир Сербиа
JV	PAG	Perimeter Aviation	Периметер Авиатион
JW	VNL	Vanilla Air Inc.	Ванилла Аир Инк
JX	SJX	Starlux Airlines	Старлукс Аирлинес
JY	IWY	interCaribbean Airways, Ltd.	Интеркариббеан Аирвайс Лтд
J2	AHY	Azerbaijan Hava Yollary	Азербаиджан Хава Ёлларй
J4	BDR	Badr Airlines	Бадр Аирлинес
J8	BVT	Berjaya Air	Берджая Аир
J9	JZR	Jazeera Airways	Джазеера Аирвайс
KA	HDA	Cathay Dragon (Ceased)	Катай Драгон
KB	DRK	Druk Air Corporation Ltd.	Друк Аир Корпоратион Лтд
KC	KZR	Air Astana	Аир Астана
