AA	AAL	American Airlines Inc.	Американские авиалинии
P3	CLU	Cargo Logic Air	Карго Логик Аир
P4	APK	Air Peace	Аир Пеаке
P5	RPB	Aero Republica S.A.	Эро Република Са
P6	PSC	Pascan Aviation	Паскан Авиатион
P7	NPG	Supernova Airlines	Супернова Аирлинес
P7	ESL	Russian Sky Airlines (Ceased)	Руссиан Скй Аирлинес
P7*	LLP	Small Planet Airline Sp. Z.o.o. (Ceased)	Смалл Планет Аирлине Сп Зоо
P9	MGE	Asia Pacific AirlinesAero	Асиа Пакифик Аирлинесэро
QB	IRQ	Qeshm Air	Кешм Аир
QC	CRC	Camair-Co	Камаир-ко
QD	JCC	JC International Airlines (Ceased)	Джк Интернатионал Аирлинес
QF	QFA	Qantas Airways Ltd.	Qantas
QG	CTV	Citilink	Китилинк
QH	BAV	Bamboo Airways	Бамбоо Аирвайс
QH	LYN	Air Kyrgyzstan (Ceased)	Аир Кйргйзстан
QJ	 	Jet Airways Inc.	Джет Аирвайс Инк
QK	JZA	Jazz Aviation LP	Джазз Авиатион Лп
QL	LER	Linea Aerea de Servicio Ejecutivo	Линеа Эреа Де Сервикио Еджекутиво
QM	AIM	Air Malawi (Ceased)	Аир Малави
QO	FQA	Quikjet Airlines	Куикджет Аирлинес
QP	SLT	Starlight Airline	Старлигхт Аирлине
QQ	UTY	Alliance Airlines	Аллианке Аирлинес
QR	QTR	Qatar Airways	Катарские Авиалинии
QS	TVS	Travel Service Airline	Травел Сервике Аирлине
QT	TPA	Tampa Cargo S.A.	Тампа Карго Са
QU	UTN	Airline Utair - Ukraine	Аирлине Утаир - Украине
QV	LAO	Lao Airlines	Лао Аирлинес
QW	QBA	Qingdao Airlines	Кингдао Аирлинес
QX	QXE	Horizon Air Industries, Inc.	Хоризон Аир Индустриес Инк
QY	BCS	European Air Transport Leipzig GmbH	Еуропеан Аир Транспорт Леипзиг Гмбх
QZ	AWQ	PT. Indonesia AirAsia	Пт Индонесиа Аирасиа
Q2	DQA	Island Aviation Services Ltd.	Исланд Авиатион Сервикес Лтд
Q8	TSG	Trans Air Congo (TAC)	Транс Аир Конго
RA	RNA	Nepal Airlines	Непал Аирлинес
RB	SYR	Syrian Arab Airlines	Сйриан Араб Аирлинес
RC	FLI	Atlantic Airways	Атлантик Аирвайс
RD	LKH	Small Planet Airlines	Смалл Планет Аирлинес
RF	 	Erofey Airline	Ерофей Аирлине
RG	RJD	Rotana Jet	Ротана Джет
RH	 	Hong Kong Air Cargo Carrier Limited	Хонг Конг Аир Карго Карриер Лимитед
RI	MDL	Tigerair Mandala	Тигераир Мандала
RJ	RJA	Royal Jordanian	Royal Jordanian
RL	ABG	JSC Royal Flight Airlines	Джск Роял Флигхт Аирлинес
RM	NGT	Aircompany Armenia	Аиркомпанй Армениа
RO	ROT	TAROM - Romanian Air Transport	Таром - Романиан Аир Транспорт
RP	CHQ	Chautauqua Airlines Inc.	Чаутаукуа Аирлинес Инк
RQ	KMF	Kam Air	Кам Аир
RS	ASV	Air Seoul	Аир Сеул
RT	RKM	Rak Airways (Ceased)	Рак Аирвайс
RU	ABW	AirBridgeCargo (Suspended)	Аирбридгекарго
RW	RYL	Royal Air Philippines	Роял Аир Филиппинес
RX	RGE	HG Aviation Limited d/b/a Regent Airways	Хг Авиатион Лимитед Д/б/а Регент Аирвайс
RY	CJX	Jiangxi Air	Джиангкси Аир
R1	 	Zapways	Запвайс
R2	ORB	Orenburg Airlines	Оренбург Аирлинес
R3	SVL	Yakutia Airlines	Якутиа Аирлинес
R4	RLB	Reliable Unique Services Aviation LLC	Релиабле Уникуе Сервикес Авиатион Ллк
R5	JAV	Jordan Aviation	Джордан Авиатион
SA	SAA	South African Airways (SAA)	Сут Африкан Аирвайс
SB	ACI	Air Caledonie International	Аир Каледоние Интернатионал
SC	CDG	Shandong Airlines	Шандонг Аирлинес
SD	SUD	Sudan Airways Co. Ltd.	Судан Аирвайс Ко Лтд
SE	XLF	XL Airways France	Ксл Аирвайс Франке
SG	MOD	SpiceJet Ltd.	Спикеджет Лтд
SH	 	Sharp Airlines	Шарп Аирлинес
SJ	SJY	PT. Sriwijaya Air	Пт Сривиджая Аир
SK	SAS	Scandinavian Airlines	SAS
SK	SGB	Songbird Airways (Ceased)	Сонгбирд Аирвайс
SL	TLM	Thai Lion Air	Таи Лион Аир
SM	MSC	Air Cairo	Аир Каиро
SN	DAT	Brussels Airlines	Brussels Airlines
SP	SAT	Air Acores	Аир Акорес
SQ	SQC	Singapore Airlines Ltd.	Singapore Airlines
SS	CRL	Corsair	Корсаир
SU	AFL	Aeroflot Russian Airlines	Аэрофлот
SV	SVA	Saudi Arabian Airlines	Сауди Арабиан Аирлинес
SW	NMB	Air Namibia (Ceased)	Аир Намибиа
SX	 	Skywagon Corporation	Скйвагон Корпоратион
SY	SCX	MN Airlines LLC	Мн Аирлинес Ллк
SZ	SMR	Somon Air	Сомон Аир
S2	JLL	Jet Lite (India) Limited	Джет Лите Лимитед
S3	BBR	SBA Airlines (Ceased)	Сба Аирлинес
S4	RZO	Azores Airlines	Азорес Аирлинес
S7	SBI	Siberia Airlines	Сибериа Аирлинес
S8	SDA	Sounds Air	Сундс Аир
S9	IKM	Aero Surveys Ltd (Ceased)	Эро Сурвейс Лтд
S9*	 	Air Company LLC Silk Road Cargo	Аир Компанй Ллк Силк Роад Карго
TA	TAI	Avianca El Salvador	Авианка Ел Салвадор
TA*	 	Transafrican Air	Трансафрикан Аир
TB	JAF	Jetairfly	Джетаирфлй
TC	ATC	Air Tanzania	Аир Танзаниа
TE	IGA	Sky Taxi	Скй Такси
TF	SCW	Braathens Regional Airways	Браатенс Регионал Аирвайс
TG	THA	Thai Airways	Thai Airways
TH	RMY	Raya Airways	Рая Аирвайс
TJ	GPD	Tradewind Aviation	Традевинд Авиатион
TK	THY	Turkish Airlines	Turkish Airlines
TL	ANO	Air North	Аир Норт
TM	LAM	LAM - Linhas Aereas de Mocambique	Лам - Линхас Эреас Де Мокамбикуе
TN	THT	Air Tahiti Nui	Air Tahiti Nui
TO	TVF	Transavia France	Трансавиа Франке
TP	TAP	TAP Portugal	TAP Portugal
TQ	PGN	Tailwind Air	Таилвинд Аир
TQ	TDM	Tandem Aero Ltd. (Ceased)	Тандем Эро Лтд
TR	TGW	Scoot Pte Ltd	Скоот Пте Лтд
TR	TGW	Tigerair (Ceased)	Тигераир
TR	TBA	TransBrasil (Ceased)	Трансбрасил
TS	TSC	Air Transat	Аир Трансат
TU	TAR	Tunisair	Тунисаир
TV	TBA	Tibet Airlines	Тибет Аирлинес
TW	TWB	Tway Air	Твай Аир
TX	FWI	Air Caraibes	Аир Караибес
TY	TPC	Air Caledonie	Аир Каледоние
TZ	TDS	Tsaradia	Тсарадиа
T0	TPU	Avianca Peru	Авианка Перу
T2*	MCS	TUM Aerocarga	Тум Эрокарга
T3	EZE	Eastern Airways	Еастерн Аирвайс
T5	TUA	Turkmenistan Airlines	Turkmenistan Airlines
T7	TJT	Twin Jet	Твин Джет
T7*	TIW	Transcarga Int’l Airways, C.A.	Транскарга Инт’л Аирвайс Ка
T8*	 	Terra Avia	Терра Авиа
T9	VTU	Turpial Airlines	Турпиал Аирлинес
UA	UAL	United Airlines, Inc.	United Airlines
UB	UBA	Myanmar National Airlines	Мянмар Натионал Аирлинес
UC	LCO	Lan Chile Cargo S.A.	Лан Чиле Карго Са
UG	TUX	Tunisair Express	Тунисаир Експресс
UH	UJX	Atlasjet Ukraine (Ceased)	Атласджет Украине
UJ	LMU	AlMasria Universal Airlines	Алмасриа Универсал Аирлинес
UK	VTI	Vistara	Вистара
UL	ALK	SriLankan Airlines	Сриланкан Аирлинес
UM	AZW	Air Zimbabwe	Аир Зимбабве
UN	TSO	Transaero Airlines	Трансэро Аирлинес
UO	HKE	Hong Kong Express Airways Limited	Хонг Конг Експресс Аирвайс Лимитед
UP	BHS	Bahamasair	Бахамасаир
UQ	CUH	Urumqi Airlines	Урумки Аирлинес
UR	UGD	Uganda Airlines	Уганда Аирлинес
UR	UTX	UTair Express LLC (Ceased)	Утаир Експресс Ллк
UT	UTA	UTair Aviation	Утаир Авиатион
UU	REU	Air Austral	Аир Аустрал
UW	UTP	Uni-Top Airlines	Уни-топ Аирлинес
UX	AEA	Air Europa Lineas Aereas, S.A.	Аир Еуропа Линеас Эреас Са
UZ	BRQ	Buraq Air	Бурак Аир
U2	EZY	Easyjet	easyJet
U3	SAY	Sky Gates Airlines	Скй Гатес Аирлинес
U6	SVR	Ural Airlines	Урал Аирлинес
U7	UCG	Uniworld Air Cargo	Униворлд Аир Карго
U8	CYF	TUS Airways	Тус Аирвайс
U9	TAK	OJSC “Aircompany Tatarstan”	Оджск “аиркомпанй Татарстан”
VA	VOZ	Virgin Australia	Virgin Australia
VB	VIV	Viva Aerobus	Вива Эробус
VF	FBB	Fly Armenia Airways	Флй Армениа Аирвайс
VF	VLU	Valuair Ltd. (Ceased)	Валуаир Лтд
VG	 	Vipper	Виппер
VI	VDA	Volga-Dnepr Airline Joint Stock	Волга-днепр Аирлине Джоинт Стокк
VJ	VJC	VietJet Air	VietJet Air
VK	FOO	Anisec Luftfahrt (Ceased)	Анисек Луфтфахрт
VL	MEV	Med View Airlines (NIG) Ltd.	Мед Виев Аирлинес Лтд
VL	VIM	Air Via (Ceased)	Аир Виа
VN	HVN	Vietnam Airlines Corp.	Vietnam Airlines
VO	TYR	Tyrolean Airways Tiroler Luftfahrt GmbH	Тйролеан Аирвайс Тиролер Луфтфахрт Гмбх
VQ	NVQ	Novoair Limited	Новоаир Лимитед
VR	TCV	Cabo Verde Airlines	Кабо Верде Аирлинес
VS	VIR	Virgin Atlantic	Virgin Atlantic
VT	VTA	Air Tahiti	Аир Тахити
VU	VAG	Vietravel Airlines	Виетравел Аирлинес
VU	VAR	VECA Airlines (Ceased)	Века Аирлинес
VV	AEW	Aerosvit Airlines	Эросвит Аирлинес
VW	TAO	Transportes Aeromar S.A. de C.V.	Транспортес Эромар Са Де Кв
VX	VRD	Virgin America Inc.	Виргин Америка Инк
VY	VLG	Vueling Airlines S.A.	Vueling
VZ	TVJ	Thai Vietjet Air	Таи Виетджет Аир
VZ*	QCL	Air Class Lineas Aereas	Аир Класс Линеас Эреас
V0	VCV	CONVIASA	Конвиаса
V2	TWN	Avialeasing Aviation Company	Авиалеасинг Авиатион Компанй
V3	KRP	Carpatair	Карпатаир
V4	VEC	Vensecar	Венсекар
V7	VOE	Volotea, S.A.	Волотеа Са
V8	VAS	Atran, LLC (Suspended Ceased)	Атран Ллк
WB	RWD	Rwand Air	Рванд Аир
WC	ISV	Avianca Honduras	Авианка Хондурас
WD	 	Wat Phnom Airlines	Ват Фном Аирлинес
WE	CWC	Centurion Cargo (Ceased)	Кентурион Карго
WE*	THD	Thai Smile Airways	Таи Смиле Аирвайс
WF	WIF	Wideroe’s Flyveselskap A.S.	Видерое’с Флйвеселскап Ас
WG	SWG	Sunwing Airlines	Сунвинг Аирлинес
WH	WDL	German Regional Airlines	Герман Регионал Аирлинес
WI	WHT	White Airways	Вхите Аирвайс
WJ	LAL	Labrador Airways Ltd.	Лабрадор Аирвайс Лтд
WK	EDW	Edelweiss Air AG	Еделвеисс Аир Аг
WM	WIA	Windward Islands Airways Int’l N.V.	Виндвард Исландс Аирвайс Инт’л Нв
WN	SWA	Southwest Airlines	Southwest Airlines
WO	WSW	Swoop	Свооп
WP	MKU	Hawaii Island Air (Ceased)	Хаваии Исланд Аир
WS	WJA	WestJet	WestJet
WT	SWT	Swiftair	Свифтаир
WU	CWU	Wuhan Airline	Вухан Аирлине
WW	 	Rutas Aereas de Venezuela RAV S.A.	Рутас Эреас Де Венезуела Рав Са
WW*	 	MJets	Мджетс
WX	BCY	Cityjet	Китйджет
WY	OAS	Oman Air (S.A.O.C)	Oman Air
WZ	RWZ	Red Wings	Ред Вингс
W2	FXT	FlexFlight	Флексфлигхт
W3	ARA	Arik Air	Арик Аир
W5	IRM	Mahan Airlines	Махан Аирлинес
W6	WZZ	Wizz Air	Wizz Air
W7	WLB	Wings of Lebanon	Вингс Оф Лебанон
W8	CJT	Cargojet Airways	Каргоджет Аирвайс
XB	 	International Air Transport Association (IATA)	Интернатионал Аир Транспорт Ассокиатион
XC	CAI	Corendon Airlines	Корендон Аирлинес
XD	 	SATO	Сато
XE	JSX	JSX Airline	Джскс Аирлине
XF	MGW	Mongolian Airways	Монголиан Аирвайс
XF	VLK	Vladivostok Air (Ceased)	Владивосток Аир
XJ	TAX	Thai Airasia X	Таи Аирасиа Кс
XK	CCM	Air Corsica	Аир Корсика
XL	LNE	LATAM Airlines Ecuador	Латам Аирлинес Екуадор
XM	EME	Australian Air Express Pty. Ltd.	Аустралиан Аир Експресс Птй Лтд
XQ	SXS	SunExpress	SunExpress
XW	NCT	NokScoot (Ceased)	Нокскоот
XY	KNE	Flynas	Флйнас
X3*	TUI	TUIfly GmbH	Туифлй Гмбх
X4	 	Air Excursion, LLC	Аир Екскурсион Ллк
X7	CHG	Challenge Airlines BE	Чалленге Аирлинес Бе
X8	 	Airmax	Аирмакс
YB	EXY	South African Express (Ceased)	Сут Африкан Експресс
YC	LLM	Joint-Stock Company “Yamal Airlines”	Джоинт-стокк Компанй “ямал Аирлинес”
YD	SYG	Synergy Aviation	Сйнергй Авиатион
YG	HYT	YTO Cargo Airlines	Йто Карго Аирлинес
YH	 	Sunsplash Aviation, LLC.	Сунсплаш Авиатион Ллк
YK	AVJ	Avia Traffic Company	Авиа Траффик Компанй
YM	MGX	Montenegro Airlines (Ceased)	Монтенегро Аирлинес
YN	CRQ	Air Creebec (1994) Inc.	Аир Креебек Инк
YO	MCM	Heli Air Monaco	Хели Аир Монако
YP	APZ	Air Premia	Аир Премиа
YQ	POT	Aircompany Polet	Аиркомпанй Полет
YR	EGJ	Grand Canyan Airlines, Inc.	Гранд Канян Аирлинес Инк
YS	TSY	Tristar Air (Ceased)	Тристар Аир
YT	NYT	Yeti Airlines	Йети Аирлинес
YU	MMZ	EuroAtlantic Airways S.A.	Еуроатлантик Аирвайс Са
YV	ASH	Mesa Airlines, Inc.	Меса Аирлинес Инк
YW	ANE	Air Nostrum L.A.M. S.A.	Аир Нострум Лам Са
YX	RPA	Republic Airline, Inc.	Републик Аирлине Инк
Y2	AFJ	Alliance Air (Uganda)	Аллианке Аир
Y4	VOI	Concesionaria Vuela Compania De SA de CV (Volaris)	Конкесионариа Вуела Компаниа Де Са Де Кв
Y5	GMR	Golden Myanmar Airlines	Голден Мянмар Аирлинес
Y7	TYA	NordStar Airlines	Нордстар Аирлинес
Y8	YZR	Suparna Airlines	Супарна Аирлинес
Y9	IRK	Kish Airlines	Киш Аирлинес
ZA	SWM	Sky Angkor Airlines	Скй Ангкор Аирлинес
ZB	ABN	Air Albania	Аир Албаниа
ZB	MON	Monarch Airlines (Ceased)	Монарч Аирлинес
ZC	KGO	Korongo Airlines	Коронго Аирлинес
ZD	EWR	EWA Air	Ева Аир
ZE	ESR	Eastar Jet	Еастар Джет
ZF	AZV	AZUR Air	Азур Аир
ZF*	SXY	Safari Express Cargo	Сафари Експресс Карго
ZH	CSZ	Shenzhen Airlines	Шенжен Аирлинес
ZI	AAF	Aigle Azur (Ceased)	Аигле Азур
ZK	ZAV	Aircompany ZetAvia	Аиркомпанй Зетавиа
ZK	GLA	Great Lakes Airlines (Ceased)	Греат Лакес Аирлинес
ZL	RXA	Regional Express Holdings	Регионал Експресс Холдингс
ZM	MBB	Air Manas	Аир Манас
ZN	NAY	Naysa	Найса
ZP	AZP	Paranair S.A.	Паранаир Са
ZP*	AZQ	Silk Way Airlines	Силк Вай Аирлинес
ZQ	AZM	Azman Air	Азман Аир
ZR	AZS	Aviacon Zitotrans Air Company JSC	Авиакон Зитотранс Аир Компанй Джск
ZT	AWC	Titan Airways Limited	Титан Аирвайс Лимитед
ZU	BBT	Air Bashkortostan Ltd. (Ceased)	Аир Башкортостан Лтд
ZU	EMZ	Ethiopian Mozambique Airlines (Ceased)	Етиопиан Мозамбикуе Аирлинес
ZV	IZG	Zagros Airlines	Загрос Аирлинес
ZW	AWI	Air Wisconsin Airlines Corporation (AWAC)	Аир Висконсин Аирлинес Корпоратион
ZY	SHY	Sky Airlines (Ceased)	Скй Аирлинес
Z2	EZD	Philippines AirAsia, Inc.	Филиппинес Аирасиа Инк
Z4	GZQ	Zagrosjet (Ceased)	Загросджет
Z6	UDN	Dniproavia - Joint Stock Aviation Co.	Днипроавиа - Джоинт Стокк Авиатион Ко
Z7	 	Amaszonas Uruguay	Амасзонас Уругуай
Z8	AZN	Linea Aerea Amaszonas S.A.	Линеа Эреа Амасзонас Са
0J	PJZ	Premium Jet AG	Премиум Джет Аг
1S	 	Sabre	Сабре
2B	AWT	Albawings	Албавингс
2C	CMA	CMA CGM Air Cargo	Кма Кгм Аир Карго
2D	EAL	Eastern Airlines	Еастерн Аирлинес
2G	AGU	JSC Angara Airlines	Джск Ангара Аирлинес
2H	 	Thalys International	Талйс Интернатионал
2I	SRU	Star Peru	Стар Перу
2I*	CSB	21 Air LLC	21 Аир Ллк
2J	VBW	Air Burkina	Аир Буркина
2K	GLG	Aerolineas Galapagos S.A. Aerogal	Эролинеас Галапагос Са Эрогал
2L	BOL	Transportes Aereos Bolivianos	Транспортес Эреос Боливианос
2M	MYD	Maya Island Air	Мая Исланд Аир
2P	GAP	Air Philippines Corporation	Аир Филиппинес Корпоратион
2Q	 	Air Cargo Carriers	Аир Карго Карриерс
2S	STW	Southwind Airlines	Сутвинд Аирлинес
2S*	MSB	Air Stork SRL	Аир Сторк Срл
2T	TBS	Timbis Air	Тимбис Аир
2Y	MYU	My Indo Airlines	Мй Индо Аирлинес
3A*	 	Chu Kong Passenger Transport	Чу Конг Пассенгер Транспорт
3B	BCV	Bestfly Cabo Verde	Бестфлй Кабо Верде
3C	CVA	Air Chathams Limited	Аир Чатамс Лимитед
3E	WBR	Air Choice One	Аир Чоике Оне
3G	GSB	DRB-HICOM Asia Cargo Express	Дрб-хиком Асиа Карго Експресс
3H	AIE	Air Inuit Ltd/Ltee.	Аир Инуит Лтд/лтее
3J	JBW	Jubba Airways	Джубба Аирвайс
3K	JSA	Jetstar Asia Airways	Джетстар Асиа Аирвайс
3L	 	Air Arabia Abu Dhabi	Аир Арабиа Абу Дхаби
3M	GFT	Silver Airways Corp	Силвер Аирвайс Корп
3N	URG	Air Urga	Аир Урга
3O	MAC	Air Arabia Maroc	Аир Арабиа Марок
3P	TNM	Tiara Air (Ceased)	Тиара Аир
3Q	KCA	KC International Airlines	Кк Интернатионал Аирлинес
3S	GUY	Air Antilles	Аир Антиллес
3S*	BOX	Aerologic GmbH	Эрологик Гмбх
3U	CSC	Sichuan Airlines	Сичуан Аирлинес
3V	TAY	ASL Airlines Belgium	Асл Аирлинес Белгиум
3W	MWI	Malawian Airlines	Малавиан Аирлинес
3X	 	Premier Trans Aire Inc.	Премиер Транс Аире Инк
4B	BTQ	Boutique Air	Бутикуе Аир
4B*	TUP	Aviastar-TU Airlines	Авиастар-ту Аирлинес
4C	ARE	LATAM Airlines Colombia	Латам Аирлинес Коломбиа
4D	ASD	Air Sinai	Аир Синаи
4E	SBO	Stabo Air Limited	Стабо Аир Лимитед
4G	GZP	Gazpromavia	Газпромавиа
4H	HGG	Hi Air	Хи Аир
4I	IZM	Izmir Airlines	Измир Аирлинес
4L	LAU	Lineas Aereas Suramericanas	Линеас Эреас Сурамериканас
4M	DSM	LATAM Argentina (Ceased)	Латам Аргентина
4N	ANT	Air North Charter and Training Ltd.	Аир Норт Чартер Анд Траининг Лтд
4O	AIJ	ABC Aerolineas (Ceased)	Абк Эролинеас
4Q	SFW	Safi Airways Ltd.	Сафи Аирвайс Лтд
4S	OLC	Solar Cargo	Солар Карго
4T	ABS	Transwest Air	Трансвест Аир
4U	GWI	Germanwings	Германвингс
4W	AJK	Allied Air Ltd.	Аллиед Аир Лтд
4X	 	Mercury Air Cargo Inc.	Меркурй Аир Карго Инк
4Y	OCN	Eurowings Discover	Еуровингс Дисковер
4Z	LNK	SA Airlink	Са Аирлинк
5A	 	Alpine Aviation Inc.	Алпине Авиатион Инк
5B	BSX	Bassaka Air	Бассака Аир
5C	ICL	C.A.L. Cargo Airlines	Кал Карго Аирлинес
5D	SLI	Aerolitoral S.A. de C.V.	Эролиторал Са Де Кв
5F	 	Fly One S.R.L.	Флй Оне Срл
5H	FFV	Five Fourty Aviation Limited	Фиве Фуртй Авиатион Лимитед
5J	CPI	Cebu Air, Inc	Кебу Аир Инк
5K	HFY	Hi Fly	Хи Флй
5M	MNT	FlyMontserrat	Флймонтсеррат
5N	AUL	Smartavia	Смартавиа
5O	FPO	ASL Airlines France	Асл Аирлинес Франке
5P	LLX	Small Planet Airlines GmbH	Смалл Планет Аирлинес Гмбх
5Q	BQB	Los Cipreses S.A.	Лос Кипресес Са
5R	RUC	Rutas Aereas, C.A.	Рутас Эреас Ка
5S	GAK	Global Aviation Services Group	Глобал Авиатион Сервикес Груп
5T	MPE	Canadian North Inc.	Канадиан Норт Инк
5U	TGU	Transportes Aereos Guatemaltecos	Транспортес Эреос Гуатемалтекос
5V	VTS	Everts Air Alaska	Евертс Аир Аласка
5W	WAZ	Wizz Air Abu Dhabi	Визз Аир Абу Дхаби
5X	UPS	UPS Airlines	Упс Аирлинес
5Y	GTI	Atlas Air Inc.	Атлас Аир Инк
5Z	KEM	Cemair	Кемаир
6A	BKV	Armenia Airways Aircompany CJSC	Армениа Аирвайс Аиркомпанй Кджск
6B	BLX	TUIfly Nordic AB	Туифлй Нордик Аб
6C	 	Air Timor (Ceased)	Аир Тимор
6E	IGO	Interglobe Aviation Ltd.	Интерглобе Авиатион Лтд
6H	ISR	Israir Airlines	Исраир Аирлинес
6J	SNJ	Solaseed Air	Соласеед Аир
6L	AKK	Aklak Air	Аклак Аир
6M	MXU	Maximus Airlines	Максимус Аирлинес
6R	TNO	Aerotransporte de Carga Union S.A. de C.v.	Эротранспорте Де Карга Унион Са Де Кв
6S	SGQ	SaudiGulf Airlines	Саудигулф Аирлинес
6U	ACX	Air Cargo Germany	Аир Карго Германй
6W	FBS	FlyBosnia (Ceased)	Флйбосниа
6W	LBO	Libo Air Cargo (Ceased)	Либо Аир Карго
7A	XRC	Express Air Cargo	Експресс Аир Карго
7C	JJA	Jeju Air	Джеджу Аир
7C*	COY	Coyne Airways Ltd	Койне Аирвайс Лтд
7D	UDC	Donbassaero (Ceased)	Донбассэро
7F	FAB	Bradley Air Services	Брадлей Аир Сервикес
7H	RVF	Northern Pacific Airways	Нортерн Пакифик Аирвайс
7I	INC	Insel Air International B.V.	Инсел Аир Интернатионал Бв
7J	TJK	Tajik Air	Таджик Аир
7L	AZG	Silk Way West Airlines Limited	Силк Вай Вест Аирлинес Лимитед
7N	PWD	PAWA Dominicana (Ceased)	Пава Доминикана
7P	PST	Air Panama	Аир Панама
7Q	MNU	Elite Airways LLC	Елите Аирвайс Ллк
7R	RLU	RusLine	Руслине
7T	RTM	DHL Ecuador	Дхл Екуадор
7U	 	Commercial Aviation Services, LLC.	Коммеркиал Авиатион Сервикес Ллк
7V	FDR	Federal Airlines	Федерал Аирлинес
7W	WRC	Wind Rose Aviation Company	Винд Росе Авиатион Компанй
7Z	AJI	Ameristar Air Cargo, Inc.	Америстар Аир Карго Инк
8A	WAP	Panama Airways	Панама Аирвайс
8C	ATN	Air Transport International, Inc.	Аир Транспорт Интернатионал Инк
8C	DXH	East Star Airlines (Ceased)	Еаст Стар Аирлинес
8D	EXV	FITS Air	Фитс Аир
8E	EFX	Easy Fly Express Limited	Еасй Флй Експресс Лимитед
8F	STP	STP Airways	Стп Аирвайс
8H	BGH	BH Air	Бх Аир
8I	NLU	InselAir Aruba (Ceassed)	Инселаир Аруба
8K	KMI	K-Mile Air Co. Ltd.	К-миле Аир Ко Лтд
8L	LKE	Lucky Air	Луккй Аир
8M	MMA	Myanmar Airways	Мянмар Аирвайс
8P	PCO	Pacific Coastal Airlines	Пакифик Коастал Аирлинес
8Q	OHY	Onur Air	Онур Аир
8R	OLS	SOL S.A. Lineas Aereas	Сол Са Линеас Эреас
8S	 	Shun Tak-China Travel Ship Mgmt. Ltd.	Шун Так-чина Травел Шип Мгмт Лтд
8U	AAW	Afriqiyah Airways	Африкиях Аирвайс
8V	ACP	Astral Aviation	Астрал Авиатион
8Z	CGA	Congo Airways	Конго Аирвайс
9A	GCA	GCA Air	Гка Аир
9C	CQH	Spring Airlines	Спринг Аирлинес
9D	THE	Toumai Air Tchad	Тумаи Аир Тчад
9E	FLG	Endeavor Air	Ендеавор Аир
9H	CGN	Air Changan	Аир Чанган
9H	DNL	Dutch Antilles Express (Ceased)	Дутч Антиллес Експресс
9I	LLR	Alliance Air (India)	Аллианке Аир
9J	DAN	Dana Air	Дана Аир
9K	KAP	Cape Air	Капе Аир
9M	GLR	Central Mountain Air Ltd.	Кентрал Мунтаин Аир Лтд
9N	TOS	Tropic Air	Тропик Аир
9R	NSE	SATENA	Сатена
9S	SOO	Southern Air Inc.	Сутерн Аир Инк
9T	RUN	ACT Airlines	Акт Аирлинес
9U	MLD	Air Moldova	Аир Молдова
9V	ROI	Avior Airlines, C.A.	Авиор Аирлинес Ка
9W	JAI	Jet Airways (India) Ltd.	Джет Аирвайс Лтд
9X	FDY	Southern Airways Express	Сутерн Аирвайс Експресс
9Y	NAE	National Airways Ethiopia	Натионал Аирвайс Етиопиа
 	ADB	Antonov Airlines	Антонов Аирлинес
 	BBW	BB Airways Pvt. Ltd.	Бб Аирвайс Пвт Лтд
 	BRP	Aerobratsk	Эробратск
 	BZH	Brit Air	Брит Аир
 	CAD	Cardig Air	Кардиг Аир
 	CHF	Chitaavia	Читаавиа
 	EXT	Nightexpress (Ceased)	Нигхтекспресс
 	GNX	Genex Ltd.	Генекс Лтд
 	KJA	Kinda Airlines	Кинда Аирлинес
 	LXA	Luxaviation S.A.	Луксавиатион Са
 	RLI	Reliant Air	Релиант Аир
 	SLQ	Skylink Express	Скйлинк Експресс
 	WLX	Smart Cargo S.A.	Смарт Карго Са
